Empresa,Salario,Classe,Sede,Tamanho,Fundação,Tipo,Setor,Moeda,Valor_moeda
dunnhumby,9500,Senior,"São Paulo, Brasil",10000,1924.0,Empresa: privada,Fabricação industrial,R$R$,1
Geoi2,10500,Senior,"Brasília, Brasil",350,1995.0,Empresa: privada,De US$ 50 a US$ 100 milhões,R$R$,1
JBS USA Holdings,16000,Senior,"São Paulo, Brasil",125,2011.0,Empresa: privada,Serviços de TI,R$R$,1
Keyrus,11500,Senior,"Porto Alegre, Brasil",350,,Empresa: privada,Serviços de TI,R$R$,1
SulAmérica,12500,Senior,"Osasco, Brasil",10000,1943.0,Empresa: capital aberto (BBD),Bancos e cooperativas de crédito,R$R$,1
Deloitte,9500,Senior,"Jaguariúna, Brasil",10000,1987.0,Subsidiária ou segmento de negócio,Serviços de TI,R$R$,1
Delfos Intelligent Maintenance,10500,Senior,"São Paulo, Brasil",10000,1924.0,Empresa: privada,Fabricação industrial,R$R$,1
Pitang Agile IT,10000,Senior,"São Paulo, Brasil",125,2014.0,Empresa: privada,Internet,R$R$,1
Tata Consultancy Services,12500,Senior,"São Paulo, Brasil",7500,,Empresa: privada,Serviços de TI,R$R$,1
Bayer,12500,Senior,"Hammersmith, Reino Unido",2500,1989.0,Empresa: privada,Consultoria,R$R$,1
Luizalabs,14500,Senior,"Greeley, CO",10000,1855.0,Subsidiária ou segmento de negócio,Fabricação de bebidas e alimentos,R$R$,1
TradersClub,13500,Senior,"Levallois-Perret, França",2500,1996.0,Empresa: capital aberto (KEY.PA),Serviços de TI,R$R$,1
Capgemini Engineering,10500,Senior,"New York, NY",10000,1850.0,Empresa: privada,Contabilidade,R$R$,1
Resource IT Solutions,13500,Senior,"Fortaleza, Brasil",25,,Empresa: privada,Desconhecido/Não se aplica,R$R$,1
NeuroTech,6500,Senior,"Recife, Brasil",350,2004.0,Empresa: privada,Serviços de TI,R$R$,1
Grupo Notredame Intermédica,12500,Senior,"São Paulo, Brasil",7500,1863.0,Empresa: privada,Biotecnologia e farmacêutica,R$R$,1
PicPay,10000,Senior,"São Paulo, Brasil",2500,2013.0,Empresa: privada,Bancos e cooperativas de crédito,R$R$,1
OpenRobots,2000,Senior,"São Paulo, Brasil",2500,2014.0,Subsidiária ou segmento de negócio,Hardware e software,R$R$,1
EY,5500,Senior,"Paris, França",10000,1967.0,Empresa: capital aberto,Serviços de TI,R$R$,1
Telecine,8500,Senior,"São Paulo, Brasil",2500,,Empresa: privada,Serviços de TI,R$R$,1
Lumini IT Solutions,12500,Senior,"Recife, Brasil",125,2000.0,Empresa: privada,Hardware e software,R$R$,1
Icatu Seguros,8500,Senior,"São Paulo, Brasil",125,2014.0,Empresa: privada,Internet,R$R$,1
Redasset,9000,Senior,"New York, NY",10000,1850.0,Empresa: privada,Contabilidade,R$R$,1
Acqio,8500,Senior,"São Paulo, Brasil",7500,1863.0,Empresa: privada,Biotecnologia e farmacêutica,R$R$,1
Grupo CCR,14500,Senior,"Paris, França",10000,1967.0,Empresa: capital aberto,Serviços de TI,R$R$,1
Cortex Intelligence,12500,Senior,"Vitória, Brasil",2500,2012.0,Empresa: privada,Processamento de transações financeiras,R$R$,1
will bank,11500,Senior,"Londres, Reino Unido",10000,1989.0,Empresa: privada,Contabilidade,R$R$,1
Hospital Israelita Albert Einstein,9000,Senior,"São Paulo, Brasil",125,2007.0,Empresa: privada,Soluções de software e redes corporativas,R$R$,1
